@W: CS222 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\SRL16E.v":48:4:48:10|Ignoring specify block
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\communication_2M.v":112:0:112:5|Pruning unused register reset_counter[7:0]. Make sure that there are no unused intermediate registers.
@W: CG360 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":17:29:17:35|Removing wire o_state, as there is no assignment to it.
@W: CL271 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":135:0:135:5|Pruning unused bits 31 to 20 of ri_data[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":135:0:135:5|Pruning unused bits 11 to 0 of ri_data[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[5] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[6] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[7] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[8] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[9] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[10] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[11] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[12] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[13] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[14] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[15] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[16] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[17] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[18] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[19] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[20] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[25] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[28] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[29] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[30] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Optimizing register bit ro_cmd[31] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Pruning register bits 31 to 28 of ro_cmd[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL260 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Pruning register bit 25 of ro_cmd[31:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL279 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_init.v":108:0:108:5|Pruning register bits 20 to 5 of ro_cmd[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":50:0:50:5|Pruning unused bits 31 to 20 of ri_data[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":50:0:50:5|Pruning unused bits 3 to 0 of ri_data[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[5] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[6] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[7] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[8] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[9] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[10] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[11] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[12] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[13] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[14] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[15] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[16] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[17] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[18] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[19] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[20] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[21] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[25] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[27] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[28] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[29] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[30] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Optimizing register bit ro_cmd[31] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[16] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[17] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[18] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[19] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[20] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[21] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[22] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[23] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[24] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[25] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[26] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[27] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[28] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[29] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[30] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Optimizing register bit ro_sens_data[31] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Pruning register bits 31 to 27 of ro_cmd[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL260 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Pruning register bit 25 of ro_cmd[31:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL279 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":78:0:78:5|Pruning register bits 21 to 3 of ro_cmd[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL279 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":108:0:108:5|Pruning register bits 31 to 16 of ro_sens_data[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W:"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\spi_master.v":235:43:235:65|Index into variable lb_data_in could be out of range - a simulation mismatch is possible
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\spi_master.v":193:0:193:5|Pruning unused register word_cnt[2:0]. Make sure that there are no unused intermediate registers.
@W: CG532 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":97:0:97:6|Within an initial block, only Verilog force statements and memory $readmemh/$readmemb initialization statements are recognized, and all other content is ignored.
@W: CG360 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":70:24:70:30|Removing wire o_state, as there is no assignment to it.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":250:0:250:5|Pruning unused register x_acc_data_flag. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":250:0:250:5|Pruning unused register y_acc_data_flag. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":250:0:250:5|Pruning unused register z_acc_data_flag. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":210:0:210:5|Pruning unused register x_acc_data[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":210:0:210:5|Pruning unused register y_acc_data[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":210:0:210:5|Pruning unused register z_acc_data[31:0]. Make sure that there are no unused intermediate registers.
@W: CL271 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":210:0:210:5|Pruning unused bits 31 to 16 of x_gyro_data[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":210:0:210:5|Pruning unused bits 31 to 16 of y_gyro_data[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":210:0:210:5|Pruning unused bits 31 to 16 of z_gyro_data[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":210:0:210:5|Pruning unused bits 31 to 16 of temp[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL260 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\main_prog.v":103:0:103:5|Pruning register bit 15 of reset_cnt[15:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"C:\Users\liushuo\Desktop\vivado_fam\sch16t_CS_acc2_8hz\hdl\sch16t_loopRead.v":63:0:63:5|Optimizing register bit r_read_seq[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
